sample	cohort	included_in_clustering	exclusion_reason
DLBCL10945	Staudt	True	
DLBCL11460	Staudt	True	
DLBCL11205	Staudt	True	
DLBCL10961	Staudt	True	
DLBCL11665	Staudt	True	
DLBCL11530	Staudt	True	
DLBCL10997	Staudt	True	
DLBCL11462	Staudt	True	
DLBCL10987	Staudt	True	
DLBCL11661	Staudt	True	
DLBCL11452	Staudt	True	
DLBCL10513	Staudt	True	
DLBCL11507	Staudt	True	
DLBCL10833	Staudt	True	
DLBCL10482	Staudt	True	
DLBCL10500	Staudt	True	
DLBCL10939	Staudt	True	
DLBCL11474	Staudt	True	
DLBCL10902	Staudt	True	
DLBCL11484	Staudt	True	
DLBCL11488	Staudt	True	
DLBCL10529	Staudt	True	
DLBCL10450	Staudt	True	
DLBCL11188	Staudt	True	
DLBCL11495	Staudt	True	
DLBCL10454	Staudt	True	
DLBCL10835	Staudt	True	
DLBCL11558	Staudt	True	
DLBCL10512	Staudt	True	
DLBCL11448	Staudt	True	
DLBCL11509	Staudt	True	
DLBCL10485	Staudt	True	
DLBCL10866	Staudt	True	
DLBCL10859	Staudt	True	
DLBCL10874	Staudt	True	
DLBCL10503	Staudt	True	
DLBCL11242	Staudt	True	
DLBCL10850	Staudt	True	
DLBCL11573	Staudt	True	
DLBCL11431	Staudt	True	
DLBCL10875	Staudt	True	
DLBCL10935	Staudt	True	
DLBCL11470	Staudt	True	
DLBCL11511	Staudt	True	
DLBCL11678	Staudt	True	
DLBCL11680	Staudt	True	
DLBCL10897	Staudt	True	
DLBCL11437	Staudt	True	
DLBCL11685	Staudt	True	
DLBCL10925	Staudt	True	
DLBCL10942	Staudt	True	
DLBCL11578	Staudt	True	
DLBCL10928	Staudt	True	
DLBCL10539	Staudt	True	
DLBCL11659	Staudt	True	
DLBCL11540	Staudt	True	
DLBCL10470	Staudt	True	
DLBCL10549	Staudt	True	
DLBCL10504	Staudt	True	
DLBCL10564	Staudt	True	
DLBCL10530	Staudt	True	
DLBCL10467	Staudt	True	
DLBCL11576	Staudt	True	
DLBCL11477	Staudt	True	
DLBCL11000	Staudt	True	
DLBCL10462	Staudt	True	
DLBCL11651	Staudt	True	
DLBCL11679	Staudt	True	
DLBCL10555	Staudt	True	
DLBCL10487	Staudt	True	
DLBCL10516	Staudt	True	
DLBCL11002	Staudt	True	
DLBCL10780	Staudt	True	
DLBCL10494	Staudt	True	
DLBCL10912	Staudt	True	
DLBCL10936	Staudt	True	
DLBCL11435	Staudt	True	
DLBCL10846	Staudt	True	
DLBCL10851	Staudt	True	
DLBCL11569	Staudt	True	
DLBCL11491	Staudt	True	
DLBCL11429	Staudt	True	
DLBCL11464	Staudt	True	
DLBCL11206	Staudt	True	
DLBCL10545	Staudt	True	
DLBCL10994	Staudt	True	
DLBCL11501	Staudt	True	
DLBCL11660	Staudt	True	
DLBCL11458	Staudt	True	
DLBCL10975	Staudt	True	
DLBCL11515	Staudt	True	
DLBCL11467	Staudt	True	
DLBCL10509	Staudt	True	
DLBCL10540	Staudt	True	
DLBCL10857	Staudt	True	
DLBCL10924	Staudt	True	
DLBCL11187	Staudt	True	
DLBCL11518	Staudt	True	
DLBCL10993	Staudt	True	
DLBCL10471	Staudt	True	
DLBCL10502	Staudt	True	
DLBCL10506	Staudt	True	
DLBCL10453	Staudt	True	
DLBCL10986	Staudt	True	
DLBCL10891	Staudt	True	
DLBCL10921	Staudt	True	
DLBCL11536	Staudt	True	
DLBCL11193	Staudt	True	
DLBCL10947	Staudt	True	
DLBCL10996	Staudt	True	
DLBCL10980	Staudt	True	
DLBCL11208	Staudt	True	
DLBCL10984	Staudt	True	
DLBCL10566	Staudt	True	
DLBCL11443	Staudt	True	
DLBCL10782	Staudt	True	
DLBCL10531	Staudt	True	
DLBCL10938	Staudt	True	
