entity:sample_id	blat_passed_maf	hg38_WXS_bam_path	submitter_id
126fb387-b84d-433f-888b-80e6326c9cf9	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL10951.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/9eb50fed-7ac3-410c-afbc-9ec8c11b27cc/gdc_file_downloader_workflow/3079159e-6baf-427f-9274-a13872312673/call-gdc_file_downloader/attempt-2/5fb81c59-310d-4013-b341-c62bbe368566/852128b1-b742-402c-a2b6-d96cf98cd6cb_gdc_realn.bam	DLBCL10951
1274247e-e9e2-4a7f-98ac-ace40d6aa7ee	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL10484.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/a4b432dd-2b93-4998-abba-377dad86f104/gdc_file_downloader_workflow/0300d76d-908a-4ba8-ad12-6b1ddb0925b0/call-gdc_file_downloader/b892209c-c21a-4df8-a048-ee6ecfff9039/097e4282-3185-4e9e-a793-c20c42b78661_gdc_realn.bam	DLBCL10484
139d30fe-7696-4f5f-b0e1-db51e794afe2	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL11671.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/a4b432dd-2b93-4998-abba-377dad86f104/gdc_file_downloader_workflow/b7c0a9b8-07c6-4999-825e-a2c9035cb97d/call-gdc_file_downloader/09e93336-03f2-45cc-bd1d-81408ae2c4ec/0cd14876-3a16-487b-8123-75291607abf2_gdc_realn.bam	DLBCL11671
13e3a366-93ee-40fc-a611-40120309c939	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL10883.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/09a17895-f412-4755-8c27-fb20ad826ce7/gdc_file_downloader_workflow/47315b23-b697-4386-ba63-cb88471c6aa2/call-gdc_file_downloader/72ccfc98-1ce1-4f87-8751-6433a8aa9bab/6c3d450e-dd84-468a-b49b-ed069e93095e_gdc_realn.bam	DLBCL10883
14c558d5-d4ee-4fac-aabf-70d6d5ac7769	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL11531.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/127de6d3-9457-45c7-9883-d57971061e2d/gdc_file_downloader_workflow/6a0a62ce-4e8e-428b-90d1-4c81350bdfcd/call-gdc_file_downloader/dbbc5bc9-1d1a-4dbc-8a98-a539e8dea34d/7ba32188-5608-445c-8d04-f7c389acea27_gdc_realn.bam	DLBCL11531
15cc2664-27e2-4fb5-894d-74c4aba1d60b	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL11430.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/73a07941-7db1-45ad-829d-2a9b6fbfeedb/gdc_file_downloader_workflow/8b91825a-d866-4c92-ae7f-4801a15c6d44/call-gdc_file_downloader/attempt-2/ed87f994-a883-425c-a755-d77ec4136ac7/5c0cdb03-9b74-4876-a985-78c63a0a1209_gdc_realn.bam	DLBCL11430
1653f315-15d1-4c4c-9424-d37914ba0688	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL10460.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/0c099416-a317-4198-9492-acad13afadcc/gdc_file_downloader_workflow/adde59fd-e5da-4236-92a9-4707621abd7a/call-gdc_file_downloader/70375011-0bbd-4aca-93e7-aae5abe1bc1f/bdec80b6-1eb3-454e-8a7f-ede5a8a1855d_gdc_realn.bam	DLBCL10460
168b5b56-7151-4043-bce3-0f26ddd8de1a	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL11513.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/a3ea1613-07f4-4226-b1aa-8a9cd99354c9/gdc_file_downloader_workflow/12e20f23-f50c-4c37-a958-42bc5acaaeee/call-gdc_file_downloader/dd3fbee3-f641-4e20-9210-bfea7e8b597e/47acf63e-f713-4920-8b8a-e356ea4be112_gdc_realn.bam	DLBCL11513
16aa5952-612b-4d6f-927a-d1a7c6ba9dc6	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL10544.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/dd98d63e-18a7-43cb-a4e1-4240b608b72d/gdc_file_downloader_workflow/043ba526-1cfd-4acc-893c-414e5b1f128c/call-gdc_file_downloader/6fea36bc-e8a5-449d-a517-d2bfa613b179/fd8a57c0-da30-4024-bfcd-e6286fc4fb6e_gdc_realn.bam	DLBCL10544
178618ff-3b9c-48a8-9a90-b333e55bc494	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL10521.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/35a5f8a7-0766-4c1d-841b-d39d80b9d8ae/gdc_file_downloader_workflow/222b922e-7606-4f0f-98ef-2ca3f0a8c82c/call-gdc_file_downloader/79b49840-0539-477c-8146-f679e926217c/359fad8d-6dd0-4bc7-8a8e-3871d82c0000_gdc_realn.bam	DLBCL10521
17d3ef96-6bb2-41f0-bc41-bef6739fde7f	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL11681.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/f32d6745-7c28-4c8c-bc66-c8e5389cd9d0/gdc_file_downloader_workflow/2705deea-6b03-4d63-85ff-41d6e558cfe0/call-gdc_file_downloader/adf9f5d7-07bf-43f1-8764-5474721b4c15/8ddf5555-1b4d-4c6b-b3af-c179c362e216_gdc_realn.bam	DLBCL11681
19ca70fa-5f97-437b-a352-7ed694cc5352	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL11503.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/c4031e0f-4922-4660-bd50-b804a06acfd6/gdc_file_downloader_workflow/8fff6cc0-608f-44d6-80e6-81fda83e1528/call-gdc_file_downloader/4cf19e8f-1124-48d0-844f-0c230dc4fdad/4ac1027c-c633-4a76-b3e0-131f67f65fbc_gdc_realn.bam	DLBCL11503
19d39d40-cbdf-4193-9161-41ce757598e2	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL10914.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/0c099416-a317-4198-9492-acad13afadcc/gdc_file_downloader_workflow/1646f465-87ab-4343-aab2-8cec193afc4c/call-gdc_file_downloader/6dfc09ce-11a7-49e9-8656-34c77ceac1ac/b799491c-c02f-4e14-b297-6af67bc850f1_gdc_realn.bam	DLBCL10914
