	C1	C2	C3	C4	C5	cluster	confidence
DLBCL_DFCI_DLBCL_GOE07	0.00017131235558335634	0.9955096583836458	0.0009559447239929081	0.00033039359823636047	0.0030326909385414917	2	0.9955096583836458
DLBCL11204	0.00010907127676983447	0.9954831371844663	0.0025431679532468576	0.00040711152830684926	0.0014575120572101357	2	0.9954831371844663
DLBCL_LS4054	7.221151528613106e-05	0.995478845876986	0.0025055189337118526	0.0004010617273989324	0.0015423619466171726	2	0.995478845876986
DLBCL_MC_F089_HCZ	7.27357571043569e-05	0.9954718289923913	0.002508457931428032	0.00040227987812973057	0.001544697440946541	2	0.9954718289923913
DLBCL11591	7.329206244065002e-05	0.995464402704456	0.002511566980437807	0.00040356974870412756	0.0015471685039614214	2	0.995464402704456
DLBCL10517	7.482023916780849e-05	0.9954441054871744	0.00252005705945952	0.0004070985420575877	0.0015539186721407984	2	0.9954441054871744
DLBCL_RICOVER_174	0.00016949339563497514	0.995398790872876	0.002605635235877059	0.0003710601322320554	0.001455020363380067	2	0.995398790872876
DLBCL10917	0.00014615206672330075	0.9953955558799845	0.0019604793928356735	0.0003447904665673312	0.0021530221938892624	2	0.9953955558799845
DLBCL10933	0.0002404273490204661	0.9953878684285842	0.0010238691100576025	0.0004311339428556982	0.0029167011694821083	2	0.9953878684285842
DLBCL_MC_F729_MAN	0.0001527184387608384	0.9953843896893153	0.002426374861602781	0.0003616612136614241	0.001674855796659522	2	0.9953843896893153
DLBCL_C_D_1106_NULLPAIR	9.103334996628476e-05	0.9953805797984828	0.0025372264476177034	0.00036217044805811175	0.0016289899558750666	2	0.9953805797984828
DLBCL_RICOVER_623	0.00023519046982395234	0.9953776323988206	0.002593921674834831	0.0004138060368908706	0.0013794494196296741	2	0.9953776323988206
DLBCL_C_D_1131_NULLPAIR	9.96315974794953e-05	0.9953733865891453	0.0021979601430952072	0.0003572592822409671	0.001971762388038982	2	0.9953733865891453
DLBCL_LS2258	9.590309218717717e-05	0.9953541633828981	0.0022184498292931658	0.0004543058779351399	0.0018771778176864277	2	0.9953541633828981
DLBCL10981	0.00016093915330748885	0.9953267168310304	0.0024814470422037166	0.0003987651147973317	0.00163213185866118	2	0.9953267168310304
DLBCL10507	0.00012708520914090127	0.9953221408921451	0.002588586313370768	0.0003625721912223682	0.0015996153941208035	2	0.9953221408921451
DLBCL10483	0.0001440743045055649	0.9953070784191634	0.0022873972909479463	0.00035555306798141703	0.0019058969174015783	2	0.9953070784191634
DLBCL10907	0.000277265111037287	0.9952956630916233	0.0011246947495379466	0.0005465503767501249	0.0027558266710513268	2	0.9952956630916233
DLBCL10845	0.0001751661104325231	0.9952550758573604	0.0007831540951801545	0.0003252356268853966	0.0034613683101415355	2	0.9952550758573604
DLBCL_RICOVER_1169	0.0002712385507948885	0.9952469674110691	0.002644686878327919	0.0004594614278602917	0.0013776457319477468	2	0.9952469674110691
