gene	cluster	q	p	overall_frequency	C1_nf	C2_nf	C3_nf	C4_nf	C5_nf	C1_f	C2_f	C3_f	C4_f	C5_f	C1_mut	C1_wt	C2_mut	C2_wt	C3_mut	C3_wt	C4_mut	C4_wt	C5_mut	C5_wt	C1_sum	C2_sum	C3_sum	C4_sum	C5_sum
YY1	C4	0.0003991449447207656	0.00013999860001399987	0.03636363636363636	0.25	0.0	0.1	0.5	0.15000000000000002	0.00909090909090909	0.0	0.0036363636363636364	0.01818181818181818	0.005454545454545455	5	111	0	124	2	93	10	67	3	135	9	0	4	20	6
HIST1H1C	C4	0.0005862441375586245	0.0002099979000209998	0.1290909090909091	0.2112676056338028	0.15492957746478875	0.14084507042253522	0.33802816901408456	0.15492957746478875	0.02727272727272727	0.02	0.01818181818181818	0.04363636363636364	0.02	15	101	11	113	10	85	24	53	11	127	27	20	18	45	20
HIST1H2AM	C4	0.000884391156088439	0.00032999670003299966	0.09454545454545454	0.21153846153846154	0.15384615384615385	0.1346153846153846	0.3653846153846154	0.1346153846153846	0.02	0.014545454545454545	0.012727272727272728	0.034545454545454546	0.012727272727272728	11	105	8	116	7	88	19	58	7	131	17	15	11	33	10
ACTB	C4	0.0009721471412736853	0.0003699963000369996	0.10181818181818181	0.14285714285714288	0.14285714285714288	0.17857142857142858	0.35714285714285715	0.17857142857142858	0.014545454545454545	0.014545454545454545	0.01818181818181818	0.03636363636363636	0.01818181818181818	8	108	8	116	10	85	20	57	10	128	16	14	18	36	20
SESN3	C4	0.0012369107078159987	0.00047999520004799953	0.016363636363636365	0.2222222222222222	0.0	0.0	0.6666666666666666	0.1111111111111111	0.0036363636363636364	0.0	0.0	0.01090909090909091	0.0018181818181818182	2	114	0	124	0	95	6	71	1	137	3	0	0	12	2
SOCS1	C4	0.0040199598004019964	0.0017699823001769983	0.13090909090909092	0.2222222222222222	0.13888888888888887	0.2361111111111111	0.2638888888888889	0.13888888888888887	0.02909090909090909	0.01818181818181818	0.03090909090909091	0.034545454545454546	0.01818181818181818	16	100	10	114	17	78	19	58	10	128	31	18	33	32	19
HIST1H1D	C4	0.005120274000512027	0.0023499765002349977	0.07090909090909091	0.15384615384615385	0.1282051282051282	0.1282051282051282	0.3846153846153846	0.20512820512820512	0.01090909090909091	0.00909090909090909	0.00909090909090909	0.02727272727272727	0.014545454545454545	6	110	5	119	5	90	15	62	8	130	12	9	9	30	14
ZNF608	C4	0.006457258262063049	0.0030599694003059967	0.10363636363636364	0.17543859649122806	0.12280701754385966	0.19298245614035087	0.31578947368421056	0.19298245614035087	0.01818181818181818	0.012727272727272728	0.02	0.03272727272727273	0.02	10	106	7	117	11	84	18	59	11	127	19	13	20	33	19
HIST1H2AC	C4	0.010187989723156203	0.004979950200497995	0.11636363636363636	0.234375	0.109375	0.125	0.28125	0.25	0.02727272727272727	0.012727272727272728	0.014545454545454545	0.03272727272727273	0.02909090909090909	15	101	7	117	8	87	18	59	16	122	26	12	12	26	28
PABPC1	C4	0.013156232074042897	0.006479935200647994	0.025454545454545455	0.2142857142857143	0.07142857142857142	0.14285714285714285	0.5	0.07142857142857142	0.005454545454545455	0.0018181818181818182	0.0036363636363636364	0.012727272727272728	0.0018181818181818182	3	113	1	123	2	93	7	70	1	137	6	1	4	13	2
KRAS	C4	0.019561848177138668	0.00999990000099999	0.03090909090909091	0.11764705882352941	0.11764705882352941	0.17647058823529413	0.47058823529411764	0.11764705882352941	0.0036363636363636364	0.0036363636363636364	0.005454545454545455	0.014545454545454545	0.0036363636363636364	2	114	2	122	3	92	8	69	2	136	4	4	6	16	4
EEF1A1	C4	0.022339490890805377	0.011669883301166988	0.04727272727272727	0.07692307692307693	0.11538461538461539	0.2692307692307692	0.3461538461538462	0.1923076923076923	0.0036363636363636364	0.005454545454545455	0.012727272727272728	0.016363636363636365	0.00909090909090909	2	114	3	121	7	88	9	68	5	133	4	5	14	16	9
HIST1H2BD	C4	0.039475280922866444	0.02179978200217998	0.034545454545454546	0.2631578947368421	0.05263157894736842	0.05263157894736842	0.368421052631579	0.2631578947368421	0.00909090909090909	0.0018181818181818182	0.0018181818181818182	0.012727272727272728	0.00909090909090909	5	111	1	123	1	94	7	70	5	133	7	1	1	9	8
CD274	C4	0.04965937095595931	0.027979720202797972	0.023636363636363636	0.15384615384615385	0.3076923076923077	0.15384615384615385	0.3846153846153846	0.0	0.0036363636363636364	0.007272727272727273	0.0036363636363636364	0.00909090909090909	0.0	2	114	4	120	2	93	5	72	0	138	4	8	4	10	0
RBM38	C4	0.2084356684523042	0.13843861561384385	0.02727272727272727	0.26666666666666666	0.06666666666666667	0.20000000000000004	0.3333333333333333	0.13333333333333333	0.007272727272727273	0.0018181818181818182	0.005454545454545455	0.00909090909090909	0.0036363636363636364	4	112	1	123	3	92	5	72	2	136	7	2	6	7	4
EIF4A2	C4	0.2228917601534367	0.15136848631513686	0.025454545454545455	0.2142857142857143	0.07142857142857142	0.2142857142857143	0.3571428571428571	0.14285714285714285	0.005454545454545455	0.0018181818181818182	0.005454545454545455	0.00909090909090909	0.0036363636363636364	3	113	1	123	3	92	5	72	2	136	6	2	6	10	4
OGT	C4	0.2228917601534367	0.15135848641513586	0.023636363636363636	0.15384615384615385	0.23076923076923078	0.15384615384615385	0.3846153846153846	0.07692307692307693	0.0036363636363636364	0.005454545454545455	0.0036363636363636364	0.00909090909090909	0.0018181818181818182	2	114	3	121	2	93	5	72	1	137	4	6	4	10	2
ID3	C4	0.24522463770071296	0.17293827061729383	0.038181818181818185	0.14285714285714285	0.23809523809523805	0.14285714285714285	0.3333333333333333	0.14285714285714285	0.005454545454545455	0.00909090909090909	0.005454545454545455	0.012727272727272728	0.005454545454545455	3	113	5	119	3	92	7	70	3	135	6	9	6	14	6
ARID5B	C4	0.26284566169882345	0.18928810711892882	0.05272727272727272	0.1724137931034483	0.10344827586206899	0.1724137931034483	0.2758620689655173	0.2758620689655173	0.00909090909090909	0.005454545454545455	0.00909090909090909	0.014545454545454545	0.014545454545454545	5	111	3	121	5	90	8	69	8	130	8	3	8	14	15
SLAMF6	C4	0.3146422535774642	0.23480765192348077	0.016363636363636365	0.2222222222222222	0.0	0.1111111111111111	0.3333333333333333	0.3333333333333333	0.0036363636363636364	0.0	0.0018181818181818182	0.005454545454545455	0.005454545454545455	2	114	0	124	1	94	3	74	3	135	4	0	2	6	6
AVPR1B	C4	0.39246146000078463	0.3045969540304597	0.02	0.18181818181818182	0.18181818181818182	0.18181818181818182	0.36363636363636365	0.09090909090909091	0.0036363636363636364	0.0036363636363636364	0.0036363636363636364	0.007272727272727273	0.0018181818181818182	2	114	2	122	2	93	4	73	1	137	3	4	4	8	2
TBC1D12	C4	0.4504076060156829	0.3663763362366376	0.03090909090909091	0.17647058823529413	0.17647058823529413	0.058823529411764705	0.2941176470588235	0.2941176470588235	0.005454545454545455	0.005454545454545455	0.0018181818181818182	0.00909090909090909	0.00909090909090909	3	113	3	121	1	94	5	72	5	133	5	5	2	9	8
KIAA0319	C4	0.4504076060156829	0.3651263487365126	0.02181818181818182	0.08333333333333333	0.25	0.08333333333333333	0.3333333333333333	0.25	0.0018181818181818182	0.005454545454545455	0.0018181818181818182	0.007272727272727273	0.005454545454545455	1	115	3	121	1	94	4	73	3	135	1	6	2	7	6
SMEK1	C4	0.7339062674947021	0.6681833181668183	0.027272727272727268	0.20000000000000004	0.13333333333333336	0.13333333333333336	0.2666666666666667	0.2666666666666667	0.005454545454545455	0.0036363636363636364	0.0036363636363636364	0.007272727272727273	0.007272727272727273	3	113	2	122	2	93	4	73	4	134	5	4	4	8	8
X18Q.AMP	C5	3.5732976003573306e-05	9.99990000099999e-06	0.35818181818181816	0.08121827411167513	0.29949238578680204	0.09137055837563453	0.050761421319796954	0.47715736040609136	0.02909090909090909	0.10727272727272727	0.03272727272727273	0.01818181818181818	0.1709090909090909	16	100	59	65	18	77	10	67	94	44	18	72	21	11	129
PIM1	C5	3.5732976003573306e-05	9.99990000099999e-06	0.33272727272727276	0.14207650273224043	0.10928961748633878	0.06557377049180328	0.18579234972677594	0.4972677595628415	0.04727272727272727	0.03636363636363636	0.02181818181818182	0.06181818181818182	0.16545454545454547	26	90	20	104	12	83	34	43	91	47	50	33	23	62	171
X3Q.AMP	C5	3.5732976003573306e-05	9.99990000099999e-06	0.2781818181818182	0.0784313725490196	0.35947712418300654	0.058823529411764705	0.0326797385620915	0.47058823529411764	0.02181818181818182	0.1	0.016363636363636365	0.00909090909090909	0.13090909090909092	12	104	55	69	9	86	5	72	72	66	13	60	9	5	83
MYD88	C5	3.5732976003573306e-05	9.99990000099999e-06	0.22363636363636363	0.18699186991869918	0.14634146341463417	0.05691056910569106	0.04878048780487805	0.5609756097560976	0.04181818181818182	0.03272727272727273	0.012727272727272728	0.01090909090909091	0.12545454545454546	23	93	18	106	7	88	6	71	69	69	46	36	14	12	138
X3P.AMP	C5	3.5732976003573306e-05	9.99990000099999e-06	0.20727272727272728	0.07894736842105264	0.32456140350877194	0.06140350877192983	0.026315789473684213	0.5087719298245614	0.016363636363636365	0.06727272727272728	0.012727272727272728	0.005454545454545455	0.10545454545454545	9	107	37	87	7	88	3	74	58	80	9	37	7	3	66
BTG1	C5	3.5732976003573306e-05	9.99990000099999e-06	0.25636363636363635	0.19858156028368795	0.12056737588652483	0.07092198581560284	0.20567375886524825	0.4042553191489362	0.05090909090909091	0.03090909090909091	0.01818181818181818	0.05272727272727273	0.10363636363636364	28	88	17	107	10	85	29	48	57	81	41	27	17	50	88
CD79B	C5	3.5732976003573306e-05	9.99990000099999e-06	0.1672727272727273	0.19565217391304346	0.10869565217391303	0.04347826086956521	0.05434782608695651	0.5978260869565217	0.03272727272727273	0.01818181818181818	0.007272727272727273	0.00909090909090909	0.1	18	98	10	114	4	91	5	72	55	83	34	18	8	10	108
MYD88.L265P	C5	3.5732976003573306e-05	9.99990000099999e-06	0.12	0.030303030303030304	0.10606060606060606	0.0	0.04545454545454546	0.8181818181818181	0.0036363636363636364	0.012727272727272728	0.0	0.005454545454545455	0.09818181818181818	2	114	7	117	0	95	3	74	54	84	4	14	0	6	108
X18P.AMP	C5	3.5732976003573306e-05	9.99990000099999e-06	0.24545454545454545	0.0962962962962963	0.34814814814814815	0.1111111111111111	0.044444444444444446	0.39999999999999997	0.023636363636363636	0.08545454545454545	0.02727272727272727	0.01090909090909091	0.09818181818181818	13	103	47	77	15	80	6	71	54	84	14	51	17	7	62
IGLL5	C5	3.5732976003573306e-05	9.99990000099999e-06	0.12	0.15151515151515152	0.10606060606060606	0.030303030303030304	0.13636363636363638	0.5757575757575758	0.01818181818181818	0.012727272727272728	0.0036363636363636364	0.016363636363636365	0.06909090909090909	10	106	7	117	2	93	9	68	38	100	20	11	4	16	69
ETV6	C5	3.5732976003573306e-05	9.99990000099999e-06	0.09090909090909091	0.060000000000000005	0.08	0.02	0.09999999999999999	0.74	0.005454545454545455	0.007272727272727273	0.0018181818181818182	0.00909090909090909	0.06727272727272728	3	113	4	120	1	94	5	72	37	101	6	8	1	10	72
X19Q.AMP	C5	3.5732976003573306e-05	9.99990000099999e-06	0.16000000000000003	0.12499999999999997	0.3181818181818181	0.10227272727272727	0.03409090909090909	0.4204545454545454	0.02	0.05090909090909091	0.016363636363636365	0.005454545454545455	0.06727272727272728	11	105	28	96	9	86	3	74	37	101	12	30	9	3	42
TBL1XR1	C5	3.5732976003573306e-05	9.99990000099999e-06	0.12000000000000001	0.1212121212121212	0.09090909090909091	0.10606060606060605	0.13636363636363635	0.5454545454545454	0.014545454545454545	0.01090909090909091	0.012727272727272728	0.016363636363636365	0.06545454545454546	8	108	6	118	7	88	9	68	36	102	16	12	13	18	71
BTG2	C5	3.5732976003573306e-05	9.99990000099999e-06	0.17818181818181816	0.33673469387755106	0.09183673469387757	0.0	0.21428571428571433	0.35714285714285715	0.06	0.016363636363636365	0.0	0.038181818181818185	0.06363636363636363	33	83	9	115	0	95	21	56	35	103	60	17	0	38	66
TMSB4X	C5	3.5732976003573306e-05	9.99990000099999e-06	0.15818181818181817	0.24137931034482762	0.08045977011494254	0.06896551724137932	0.20689655172413796	0.4022988505747126	0.038181818181818185	0.012727272727272728	0.01090909090909091	0.03272727272727273	0.06363636363636363	21	95	7	117	6	89	18	59	35	103	41	13	12	35	68
X19Q13.42.AMP	C5	3.5732976003573306e-05	9.99990000099999e-06	0.1290909090909091	0.16901408450704228	0.18309859154929578	0.04225352112676057	0.11267605633802817	0.4929577464788732	0.02181818181818182	0.023636363636363636	0.005454545454545455	0.014545454545454545	0.06363636363636363	12	104	13	111	3	92	8	69	35	103	13	14	3	8	47
X6Q21.DEL	C5	3.5732976003573306e-05	9.99990000099999e-06	0.11454545454545455	0.09523809523809525	0.22222222222222224	0.09523809523809525	0.04761904761904762	0.5396825396825397	0.01090909090909091	0.025454545454545455	0.01090909090909091	0.005454545454545455	0.06181818181818182	6	110	14	110	6	89	3	74	34	104	6	15	7	3	38
PRDM1	C5	3.5732976003573306e-05	9.99990000099999e-06	0.10545454545454545	0.22413793103448276	0.08620689655172413	0.06896551724137931	0.05172413793103449	0.5689655172413793	0.023636363636363636	0.00909090909090909	0.007272727272727273	0.005454545454545455	0.06	13	103	5	119	4	91	3	74	33	105	24	10	8	4	66
GRHPR	C5	3.5732976003573306e-05	9.99990000099999e-06	0.05454545454545455	0.1	0.06666666666666667	0.0	0.13333333333333333	0.7	0.005454545454545455	0.0036363636363636364	0.0	0.007272727272727273	0.038181818181818185	3	113	2	122	0	95	4	73	21	117	5	4	0	8	39
HLA.B	C5	0.0001595222143016665	4.999950000499995e-05	0.12	0.33333333333333337	0.06060606060606061	0.07575757575757576	0.18181818181818185	0.3484848484848485	0.04	0.007272727272727273	0.00909090909090909	0.02181818181818182	0.04181818181818182	22	94	4	120	5	90	12	65	23	115	44	6	9	23	46
HLA.A	C5	0.00047957415162690474	0.00016999830001699983	0.10181818181818182	0.23214285714285712	0.08928571428571427	0.053571428571428575	0.26785714285714285	0.3571428571428571	0.023636363636363636	0.00909090909090909	0.005454545454545455	0.02727272727272727	0.03636363636363636	13	103	5	119	3	92	15	62	20	118	26	10	6	30	40
CARD11	C5	0.0006630861526436282	0.00023999760002399976	0.17090909090909093	0.14893617021276595	0.09574468085106383	0.22340425531914893	0.23404255319148934	0.2978723404255319	0.025454545454545455	0.016363636363636365	0.038181818181818185	0.04	0.05090909090909091	14	102	9	115	21	74	22	55	28	110	26	18	42	41	54
OSBPL10	C5	0.0008662539637229891	0.0003199968000319997	0.13999999999999999	0.2077922077922078	0.07792207792207793	0.11688311688311691	0.2077922077922078	0.38961038961038963	0.02909090909090909	0.01090909090909091	0.016363636363636365	0.02909090909090909	0.05454545454545454	16	100	6	118	9	86	16	61	30	108	30	11	17	27	59
IRF2BP2	C5	0.0012641383020132065	0.0004999950000499995	0.1181818181818182	0.13846153846153847	0.10769230769230768	0.10769230769230768	0.21538461538461537	0.43076923076923074	0.016363636363636365	0.012727272727272728	0.012727272727272728	0.025454545454545455	0.05090909090909091	9	107	7	117	7	88	14	63	28	110	16	14	13	25	53
TOX	C5	0.0016873905335020724	0.0006799932000679993	0.056363636363636366	0.06451612903225806	0.03225806451612903	0.22580645161290322	0.25806451612903225	0.4193548387096774	0.0036363636363636364	0.0018181818181818182	0.012727272727272728	0.014545454545454545	0.023636363636363636	2	114	1	123	7	88	8	69	13	125	4	2	14	16	25
X18Q22.2.AMP	C5	0.00808146957290117	0.003889961100388996	0.049090909090909095	0.037037037037037035	0.3333333333333333	0.2222222222222222	0.0	0.4074074074074074	0.0018181818181818182	0.016363636363636365	0.01090909090909091	0.0	0.02	1	115	9	115	6	89	0	77	11	127	1	13	6	0	14
HLA.C	C5	0.008678990133175591	0.004209957900420996	0.04	0.27272727272727276	0.045454545454545456	0.0	0.22727272727272727	0.45454545454545453	0.01090909090909091	0.0018181818181818182	0.0	0.00909090909090909	0.01818181818181818	6	110	1	123	0	95	5	72	10	128	12	2	0	10	20
VMP1	C5	0.01933127727546254	0.00980990190098099	0.07272727272727274	0.15	0.075	0.12499999999999997	0.22499999999999998	0.42499999999999993	0.01090909090909091	0.005454545454545455	0.00909090909090909	0.016363636363636365	0.03090909090909091	6	110	3	121	5	90	9	68	17	121	11	5	10	18	29
X6Q14.1.DEL	C5	0.021786832491387315	0.011299887001129988	0.05818181818181818	0.125	0.0625	0.3125	0.09375000000000001	0.40625	0.007272727272727273	0.0036363636363636364	0.01818181818181818	0.005454545454545455	0.023636363636363636	4	112	2	122	10	85	3	74	13	125	4	2	11	3	14
SF3B1	C5	0.039803897263040795	0.022129778702212978	0.02181818181818182	0.0	0.08333333333333333	0.08333333333333333	0.3333333333333333	0.5	0.0	0.0018181818181818182	0.0018181818181818182	0.007272727272727273	0.01090909090909091	0	116	1	123	1	94	4	73	6	132	0	2	2	7	11
ZC3H12A	C5	0.049007776588900785	0.027429725702742973	0.04727272727272727	0.11538461538461539	0.15384615384615385	0.038461538461538464	0.23076923076923078	0.46153846153846156	0.005454545454545455	0.007272727272727273	0.0018181818181818182	0.01090909090909091	0.02181818181818182	3	113	4	120	1	94	6	71	12	126	6	7	2	11	24
ATP2A2	C5	0.049738186828658035	0.028209717902820973	0.010909090909090908	0.16666666666666669	0.0	0.0	0.0	0.8333333333333334	0.0018181818181818182	0.0	0.0	0.0	0.00909090909090909	1	115	0	124	0	95	0	77	5	133	2	0	0	0	9
X1Q32.1.AMP	C5	0.06585564717601232	0.03857961420385796	0.07818181818181819	0.09302325581395349	0.2325581395348837	0.13953488372093023	0.09302325581395349	0.4418604651162791	0.007272727272727273	0.01818181818181818	0.01090909090909091	0.007272727272727273	0.034545454545454546	4	112	10	114	6	89	4	73	19	119	5	13	7	5	25
X6P21.33.DEL	C5	0.08456242481600341	0.05016949830501695	0.24181818181818182	0.15037593984962405	0.2556390977443609	0.12781954887218044	0.14285714285714285	0.32330827067669177	0.03636363636363636	0.06181818181818182	0.03090909090909091	0.034545454545454546	0.07818181818181819	20	96	34	90	17	78	19	58	43	95	20	37	17	19	45
BCOR	C5	0.1235532222991023	0.07652923470765292	0.05454545454545455	0.2	0.06666666666666667	0.2	0.1	0.4333333333333333	0.01090909090909091	0.0036363636363636364	0.01090909090909091	0.005454545454545455	0.023636363636363636	6	110	2	122	6	89	3	74	13	125	12	4	12	6	25
ANKRD35	C5	0.12982624664771317	0.08089919100808991	0.06545454545454546	0.2222222222222222	0.16666666666666666	0.1111111111111111	0.05555555555555555	0.4444444444444444	0.014545454545454545	0.01090909090909091	0.007272727272727273	0.0036363636363636364	0.02909090909090909	8	108	6	118	4	91	2	75	16	122	12	8	6	4	26
HIST1H2AG	C5	0.15071658807221452	0.09447905520944791	0.06363636363636364	0.22857142857142854	0.11428571428571427	0.08571428571428572	0.2571428571428571	0.3142857142857143	0.014545454545454545	0.007272727272727273	0.005454545454545455	0.016363636363636365	0.02	8	108	4	120	3	92	9	68	11	127	13	6	6	14	19
BCL11A	C5	0.15749996346190384	0.0993190068099319	0.05818181818181818	0.125	0.15625	0.09375000000000001	0.18750000000000003	0.4375	0.007272727272727273	0.00909090909090909	0.005454545454545455	0.01090909090909091	0.025454545454545455	4	112	5	119	3	92	6	71	14	124	8	8	5	11	25
DAZAP1	C5	0.15884358803470786	0.1007589924100759	0.04181818181818182	0.30434782608695654	0.13043478260869568	0.043478260869565216	0.08695652173913043	0.43478260869565216	0.012727272727272728	0.005454545454545455	0.0018181818181818182	0.0036363636363636364	0.01818181818181818	7	109	3	121	1	94	2	75	10	128	14	5	1	4	19
HIST1H3B	C5	0.18764406641647868	0.12252877471225287	0.03272727272727273	0.16666666666666666	0.2222222222222222	0.0	0.27777777777777773	0.3333333333333333	0.005454545454545455	0.007272727272727273	0.0	0.00909090909090909	0.01090909090909091	3	113	4	120	0	95	5	72	6	132	4	8	0	10	9
IRF4	C5	0.1989880101198988	0.13067869321306788	0.07818181818181819	0.13953488372093023	0.2325581395348837	0.11627906976744184	0.09302325581395349	0.4186046511627907	0.01090909090909091	0.01818181818181818	0.00909090909090909	0.007272727272727273	0.03272727272727273	6	110	10	114	5	90	4	73	18	120	11	19	8	6	31
ARHGAP25	C5	0.20416247814922983	0.13483865161348388	0.03636363636363636	0.1	0.1	0.15000000000000002	0.30000000000000004	0.35000000000000003	0.0036363636363636364	0.0036363636363636364	0.005454545454545455	0.01090909090909091	0.012727272727272728	2	114	2	122	3	92	6	71	7	131	4	4	6	11	12
DACH1	C5	0.2406386631320853	0.16763832361676384	0.056363636363636366	0.25806451612903225	0.0967741935483871	0.25806451612903225	0.06451612903225806	0.3225806451612903	0.014545454545454545	0.005454545454545455	0.014545454545454545	0.0036363636363636364	0.01818181818181818	8	108	3	121	8	87	2	75	10	128	14	6	15	4	18
BTK	C5	0.2406386631320853	0.16693833061669383	0.02909090909090909	0.125	0.0625	0.125	0.25	0.4375	0.0036363636363636364	0.0018181818181818182	0.0036363636363636364	0.007272727272727273	0.012727272727272728	2	114	1	123	2	93	4	73	7	131	4	2	4	8	14
GLDC	C5	0.24922347635162392	0.17761822381776182	0.03272727272727273	0.2222222222222222	0.05555555555555555	0.27777777777777773	0.05555555555555555	0.3888888888888889	0.007272727272727273	0.0018181818181818182	0.00909090909090909	0.0018181818181818182	0.012727272727272728	4	112	1	123	5	90	1	76	7	131	8	2	10	1	12
PFN1	C5	0.2795693068710338	0.2034179658203418	0.01818181818181818	0.0	0.1	0.30000000000000004	0.2	0.4	0.0	0.0018181818181818182	0.005454545454545455	0.0036363636363636364	0.007272727272727273	0	116	1	123	3	92	2	75	4	134	0	2	6	4	7
BEST3	C5	0.2835357505010808	0.20773792262077379	0.01818181818181818	0.30000000000000004	0.2	0.0	0.0	0.5	0.005454545454545455	0.0036363636363636364	0.0	0.0	0.00909090909090909	3	113	2	122	0	95	0	77	5	133	6	4	0	0	10
X6Q14.3.DEL	C5	0.3181568184318157	0.23861761382386176	0.07636363636363636	0.14285714285714288	0.16666666666666669	0.21428571428571433	0.09523809523809525	0.380952380952381	0.01090909090909091	0.012727272727272728	0.016363636363636365	0.007272727272727273	0.02909090909090909	6	110	7	117	9	86	4	73	16	122	6	7	11	4	19
FNBP1	C5	0.345940974087796	0.2620373796262037	0.02	0.27272727272727276	0.09090909090909091	0.0	0.18181818181818182	0.45454545454545453	0.005454545454545455	0.0018181818181818182	0.0	0.0036363636363636364	0.00909090909090909	3	113	1	123	0	95	2	75	5	133	6	2	0	4	10
ZC3H18	C5	0.3746863994774686	0.2866071339286607	0.05454545454545455	0.16666666666666666	0.26666666666666666	0.1	0.06666666666666667	0.4	0.00909090909090909	0.014545454545454545	0.005454545454545455	0.0036363636363636364	0.02181818181818182	5	111	8	116	3	92	2	75	12	126	9	16	4	3	23
OR8I2	C5	0.40452207918112204	0.3154668453315467	0.05090909090909091	0.10714285714285715	0.32142857142857145	0.10714285714285715	0.10714285714285715	0.3571428571428571	0.005454545454545455	0.016363636363636365	0.005454545454545455	0.005454545454545455	0.01818181818181818	3	113	9	115	3	92	3	74	10	128	6	18	6	5	19
X6Q23.3.DEL	C5	0.41087889590587656	0.32652673473265265	0.11454545454545455	0.14285714285714288	0.1746031746031746	0.20634920634920634	0.1904761904761905	0.28571428571428575	0.016363636363636365	0.02	0.023636363636363636	0.02181818181818182	0.03272727272727273	9	107	11	113	13	82	12	65	18	120	9	11	13	12	19
PAX5	C5	0.41087889590587656	0.32499675003249967	0.034545454545454546	0.2631578947368421	0.05263157894736842	0.15789473684210528	0.21052631578947367	0.31578947368421056	0.00909090909090909	0.0018181818181818182	0.005454545454545455	0.007272727272727273	0.01090909090909091	5	111	1	123	3	92	4	73	6	132	10	1	5	7	12
X21Q22.3.AMP	C5	0.43924009358037264	0.35073649263507367	0.03090909090909091	0.17647058823529413	0.11764705882352941	0.17647058823529413	0.058823529411764705	0.47058823529411764	0.005454545454545455	0.0036363636363636364	0.005454545454545455	0.0018181818181818182	0.014545454545454545	3	113	2	122	3	92	1	76	8	130	3	4	3	1	9
AUNIP	C5	0.49199435278374487	0.4025859741402586	0.01090909090909091	0.3333333333333333	0.0	0.16666666666666666	0.0	0.5	0.0036363636363636364	0.0	0.0018181818181818182	0.0	0.005454545454545455	2	114	0	124	1	94	0	77	3	135	3	0	2	0	6
STK33	C5	0.4938756017845227	0.4083259167408326	0.027272727272727275	0.26666666666666666	0.06666666666666667	0.2	0.06666666666666667	0.4	0.007272727272727273	0.0018181818181818182	0.005454545454545455	0.0018181818181818182	0.01090909090909091	4	112	1	123	3	92	1	76	6	132	8	2	6	2	11
CD7	C5	0.5469408417026941	0.4591854081459185	0.023636363636363636	0.23076923076923078	0.07692307692307693	0.15384615384615385	0.07692307692307693	0.46153846153846156	0.005454545454545455	0.0018181818181818182	0.0036363636363636364	0.0018181818181818182	0.01090909090909091	3	113	1	123	2	93	1	76	6	132	6	2	4	2	12
HCN1	C5	0.6440260703775941	0.5647243527564725	0.05090909090909091	0.17857142857142855	0.2142857142857143	0.10714285714285715	0.10714285714285715	0.39285714285714285	0.00909090909090909	0.01090909090909091	0.005454545454545455	0.005454545454545455	0.02	5	111	6	118	3	92	3	74	11	127	9	11	5	4	18
PTPRH	C5	0.6704306178695536	0.5978840211597884	0.03636363636363636	0.25	0.15000000000000002	0.25	0.05	0.30000000000000004	0.00909090909090909	0.005454545454545455	0.00909090909090909	0.0018181818181818182	0.01090909090909091	5	111	3	121	5	90	1	76	6	132	10	6	8	2	12
ABHD14B	C5	0.6780109792263074	0.6097039029609704	0.01090909090909091	0.16666666666666666	0.3333333333333333	0.0	0.0	0.5	0.0018181818181818182	0.0036363636363636364	0.0	0.0	0.005454545454545455	1	115	2	122	0	95	0	77	3	135	2	4	0	0	6
CTDP1	C5	0.6874406976094849	0.6233137668623314	0.03636363636363637	0.24999999999999994	0.15	0.19999999999999998	0.049999999999999996	0.35	0.00909090909090909	0.005454545454545455	0.007272727272727273	0.0018181818181818182	0.012727272727272728	5	111	3	121	4	91	1	76	7	131	10	4	8	2	13
ARIH1	C5	0.7622500101529597	0.6968330316696834	0.025454545454545455	0.14285714285714285	0.14285714285714285	0.14285714285714285	0.14285714285714285	0.4285714285714286	0.0036363636363636364	0.0036363636363636364	0.0036363636363636364	0.0036363636363636364	0.01090909090909091	2	114	2	122	2	93	2	75	6	132	4	3	4	3	11
EIF5	C5	0.7643152836764316	0.7015729842701574	0.016363636363636365	0.1111111111111111	0.1111111111111111	0.2222222222222222	0.1111111111111111	0.4444444444444444	0.0018181818181818182	0.0018181818181818182	0.0036363636363636364	0.0018181818181818182	0.007272727272727273	1	115	1	123	2	93	1	76	4	134	2	2	4	2	8
TSR1	C5	0.7857724648559966	0.7271327286727133	0.01818181818181818	0.2	0.1	0.1	0.2	0.4	0.0036363636363636364	0.0018181818181818182	0.0018181818181818182	0.0036363636363636364	0.007272727272727273	2	114	1	123	1	94	2	75	4	134	4	2	2	4	7
DKK4	C5	0.850753238499361	0.7999620003799962	0.01090909090909091	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.0	0.5	0.0018181818181818182	0.0018181818181818182	0.0018181818181818182	0.0	0.005454545454545455	1	115	1	123	1	94	0	77	3	135	2	2	2	0	6
SMO	C5	0.9330017469056079	0.9051509484905151	0.04	0.13636363636363638	0.22727272727272727	0.18181818181818182	0.13636363636363638	0.3181818181818182	0.005454545454545455	0.00909090909090909	0.007272727272727273	0.005454545454545455	0.012727272727272728	3	113	5	119	4	91	3	74	7	131	6	9	7	6	13
