PercentTrain	trainingloss	validationloss	bin	PercentTrain_upper
0.65	0.0200824947878188	0.0282914294039398	(0.64,0.68]	0.68
0.651	0.0129888063734691	0.0285833701369223	(0.64,0.68]	0.68
0.652	0.0189507417694683	0.0266771205557401	(0.64,0.68]	0.68
0.654	0.0188242343671737	0.0250643745392961	(0.64,0.68]	0.68
0.655	0.0174061849554757	0.0343858516123743	(0.64,0.68]	0.68
0.656	0.0155136514754151	0.02314271528605	(0.64,0.68]	0.68
0.657	0.0172802434736039	0.0212803056888983	(0.64,0.68]	0.68
0.667	0.0245207779797622	0.0292415571375509	(0.64,0.68]	0.68
0.674	0.0138265695427528	0.0266192934933704	(0.64,0.68]	0.68
0.675	0.0136271188178046	0.0329193258635313	(0.64,0.68]	0.68
0.676	0.0170528452651009	0.0262335891289759	(0.64,0.68]	0.68
0.677	0.0173942548650148	0.0288908628131789	(0.64,0.68]	0.68
0.679	0.016952369461168	0.025848855950745	(0.64,0.68]	0.68
0.68	0.0180624337139972	0.0263109645033072	(0.64,0.68]	0.68
0.682	0.0187097842922878	0.0273343986321682	(0.68,0.72]	0.72
0.684	0.0212738863317229	0.0272256829710104	(0.68,0.72]	0.72
0.686	0.0167338750881492	0.0214849976624204	(0.68,0.72]	0.72
0.688	0.0232226184542211	0.0296358255491625	(0.68,0.72]	0.72
0.69	0.0170269400871457	0.0253840879700614	(0.68,0.72]	0.72
0.692	0.0241902468379253	0.0297200621557532	(0.68,0.72]	0.72
0.696	0.0182884250368397	0.0263470766208588	(0.68,0.72]	0.72
0.697	0.0153031705058889	0.0245361464813445	(0.68,0.72]	0.72
0.698	0.0124876921647957	0.0299344934464897	(0.68,0.72]	0.72
0.7	0.0252739049913405	0.0308641654880284	(0.68,0.72]	0.72
0.703	0.0192658174241189	0.0226773404062571	(0.68,0.72]	0.72
0.704	0.0176319332505815	0.0241212579334769	(0.68,0.72]	0.72
0.706	0.0222433628324311	0.0274710541473716	(0.68,0.72]	0.72
0.708	0.0185425359096887	0.0244886247874556	(0.68,0.72]	0.72
0.71	0.0166613201039611	0.0261197630790255	(0.68,0.72]	0.72
0.714	0.0220921290478697	0.0275602803882929	(0.68,0.72]	0.72
0.719	0.0151576396698972	0.0232696876093075	(0.68,0.72]	0.72
0.72	0.0178952253142257	0.0273197624263689	(0.68,0.72]	0.72
0.721	0.0127815138356106	0.0308124843361708	(0.72,0.76]	0.76
0.722	0.0207776624325164	0.0267297634146136	(0.72,0.76]	0.76
0.724	0.0166192625636019	0.0240592611559284	(0.72,0.76]	0.76
0.725	0.0134611462781528	0.0279778962287439	(0.72,0.76]	0.76
0.727	0.0240652850762103	0.0291987300490096	(0.72,0.76]	0.76
0.73	0.0199034677723929	0.0227783759962351	(0.72,0.76]	0.76
0.731	0.0180969596200903	0.0246497108990817	(0.72,0.76]	0.76
0.733	0.0228268393637416	0.0296861924984846	(0.72,0.76]	0.76
0.735	0.0155678215959847	0.0246284550403288	(0.72,0.76]	0.76
0.737	0.0204212877071868	0.0262663120239462	(0.72,0.76]	0.76
0.739	0.0178731324014336	0.0270173509936568	(0.72,0.76]	0.76
0.741	0.0171949646233329	0.0246032391379295	(0.72,0.76]	0.76
0.742	0.0161637375459001	0.0250946459075293	(0.72,0.76]	0.76
