pair_id	case_sample	control_sample	ploidy_absolute_reviewed
DLBCL_MAYO_DLBCL_3653	DLBCL-MAYO_DLBCL_3653-Tumor	DLBCL-MAYO_DLBCL_3653-Normal	2.030000
DLBCL_MAYO_DLBCL_5613	DLBCL-MAYO_DLBCL_5613-Normal	DLBCL-MAYO_DLBCL_5613-Tumor	2.320000
DLBCL_MAYO_DLBCL_7359	DLBCL-MAYO_DLBCL_7359-Normal	DLBCL-MAYO_DLBCL_7359-Tumor	3.640000
DLBCL_MC_F064AB	DLBCL-MC_F064AB-Tumor-SM-ZTBE	DLBCL-MC_F064AB-NULL-normal	1.978159
DLBCL_MC_F089_HCZ	DLBCL-MC_F089_HCZ-Tumor-SM-18DF8	DLBCL-MC_F089_HCZ-NULL-normal	1.725079
DLBCL_MC_F089_MLB	DLBCL-MC_F089_MLB-Tumor-SM-18DF9	DLBCL-MC_F089_MLB-NULL-normal	2.005774
DLBCL_MC_F132_MLM	DLBCL-MC_F132_MLM-Tumor-SM-18DFA	DLBCL-MC_F132_MLM-NULL-normal	1.952322
DLBCL_MC_F139_AD	DLBCL-MC_F139_AD-Tumor-SM-ZTBI	DLBCL-MC_F139_AD-NULL-normal	2.009816
DLBCL_MC_F139_LJF	DLBCL-MC_F139_LJF-Tumor-SM-ZTBU	DLBCL-MC_F139_LJF-NULL-normal	2.097122
DLBCL_MC_F210_GWC	DLBCL-MC_F210_GWC-Tumor-SM-18DFB	DLBCL-MC_F210_GWC-NULL-normal	1.991514
DLBCL_MC_F218_RAP	DLBCL-MC_F218_RAP-Tumor-SM-18DFC	DLBCL-MC_F218_RAP-NULL-normal	1.970621
DLBCL_MC_F231_CAO	DLBCL-MC_F231_CAO-Tumor-SM-ZTBS	DLBCL-MC_F231_CAO-NULL-normal	1.907650
DLBCL_MC_F262_WLC	DLBCL-MC_F262_WLC-Tumor-SM-18DFD	DLBCL-MC_F262_WLC-NULL-normal	1.988757
DLBCL_MC_F300_TBF	DLBCL-MC_F300_TBF-Tumor-SM-12EXR	DLBCL-MC_F300_TBF-NULL-normal	2.052249
DLBCL_MC_F307_JPS	DLBCL-MC_F307_JPS-Tumor-SM-ZTB4	DLBCL-MC_F307_JPS-NULL-normal	1.959881
DLBCL_MC_F339_JPS2	DLBCL-MC_F339_JPS2-Tumor-SM-ZTC4	DLBCL-MC_F339_JPS2-NULL-normal	2.081162
DLBCL_MC_F344_CJS	DLBCL-MC_F344_CJS-Tumor-SM-12EXY	DLBCL-MC_F344_CJS-NULL-normal	2.050256
DLBCL_MC_F349_BJJ	DLBCL-MC_F349_BJJ-Tumor-SM-ZTBW	DLBCL-MC_F349_BJJ-NULL-normal	1.941236
DLBCL_MC_F358_WDS	DLBCL-MC_F358_WDS-Tumor-SM-ZTBJ	DLBCL-MC_F358_WDS-NULL-normal	2.040766
DLBCL_MC_F362_MJB1	DLBCL-MC_F362_MJB1-Tumor-SM-ZTBQ	DLBCL-MC_F362_MJB1-NULL-normal	1.894921
DLBCL_MC_F496DMP	DLBCL-MC_F496DMP-Tumor-SM-ZTBG	DLBCL-MC_F496DMP-NULL-normal	2.099163
DLBCL_MC_F500_ECU	DLBCL-MC_F500_ECU-Tumor-SM-12EXX	DLBCL-MC_F500_ECU-NULL-normal	2.209854
DLBCL_MC_F502_RFK	DLBCL-MC_F502_RFK-Tumor-SM-ZTBP	DLBCL-MC_F502_RFK-NULL-normal	3.448587
DLBCL_MC_F519_ALT	DLBCL-MC_F519_ALT-Tumor-SM-ZTBX	DLBCL-MC_F519_ALT-NULL-normal	2.102916
DLBCL_MC_F606_DMJ	DLBCL-MC_F606_DMJ-Tumor-SM-ZTC1	DLBCL-MC_F606_DMJ-NULL-normal	1.806137
DLBCL_MC_F648_JKW	DLBCL-MC_F648_JKW-Tumor-SM-ZTBV	DLBCL-MC_F648_JKW-NULL-normal	2.047978
DLBCL_MC_F729_MAN	DLBCL-MC_F729_MAN-Tumor-SM-18DFE	DLBCL-MC_F729_MAN-NULL-normal	2.001047
DLBCL_MC_F739_AMA3	DLBCL-MC_F739_AMA3-Tumor-SM-18DFG	DLBCL-MC_F739_AMA3-NULL-normal	3.537163
DLBCL_MC_F815_BAT	DLBCL-MC_F815_BAT-Tumor-SM-ZTBL	DLBCL-MC_F815_BAT-NULL-normal	1.996786
DLBCL_MC_F886_EJH	DLBCL-MC_F886_EJH-Tumor-SM-ZTAZ	DLBCL-MC_F886_EJH-NULL-normal	1.979578
DLBCL_MC_F925_DLR	DLBCL-MC_F925_DLR-Tumor-SM-ZTC5	DLBCL-MC_F925_DLR-NULL-normal	1.935880
DLBCL_MC_F927_JHS	DLBCL-MC_F927_JHS-Tumor-SM-ZTB3	DLBCL-MC_F927_JHS-NULL-normal	1.907650
DLBCL_MC_F959_ERM	DLBCL-MC_F959_ERM-Tumor-SM-18DFK	DLBCL-MC_F959_ERM-NULL-normal	3.398469
DLBCL_MC_F990_MNA	DLBCL-MC_F990_MNA-Tumor-SM-ZTBM	DLBCL-MC_F990_MNA-NULL-normal	3.412720
DLBCL_RICOVER_1013	DLBCL-RICOVER_1013-Tumor-SM-4MIMF	DLBCL-RICOVER_1013-Normal-SM-4MEZG	2.730000
DLBCL_RICOVER_1018	DLBCL-RICOVER_1018-Tumor-SM-4MIMG	DLBCL-RICOVER_1018-Null_normal	3.008186
DLBCL_RICOVER_102	DLBCL-RICOVER_102-Tumor-SM-4NFRG	DLBCL-RICOVER_102-Normal-SM-4MEWZ	2.000000
DLBCL_RICOVER_1032	DLBCL-RICOVER_1032-Tumor-SM-4MIMJ	DLBCL-RICOVER_1032-Normal-SM-4MEZH	2.050000
DLBCL_RICOVER_1045	DLBCL-RICOVER_1045-Tumor-SM-4MIMK	DLBCL-RICOVER_1045-Null_normal	2.099073
DLBCL_RICOVER_1046	DLBCL-RICOVER_1046-Tumor-SM-4MIML	DLBCL-RICOVER_1046-Null_normal	1.833134
DLBCL_RICOVER_105	DLBCL-RICOVER_105-Tumor-SM-4NFRH	DLBCL-RICOVER_105-Null_normal	1.981206
DLBCL_RICOVER_1060	DLBCL-RICOVER_1060-Tumor-SM-4MIMN	DLBCL-RICOVER_1060-Normal-SM-4MEZJ	2.060000
DLBCL_RICOVER_1061	DLBCL-RICOVER_1061-Tumor-SM-4MIMO	DLBCL-RICOVER_1061-Null_normal	1.996700
DLBCL_RICOVER_107	DLBCL-RICOVER_107-Tumor-SM-4NFRI	DLBCL-RICOVER_107-Normal-SM-4MEX1	2.060000
DLBCL_RICOVER_1072	DLBCL-RICOVER_1072-Tumor-SM-4MIMR	DLBCL-RICOVER_1072-Null_normal	2.380974
DLBCL_RICOVER_1081	DLBCL-RICOVER_1081-Tumor-SM-4MIMS	DLBCL-RICOVER_1081-Normal-SM-4MEZL	2.030000
DLBCL_RICOVER_1106	DLBCL-RICOVER_1106-Tumor-SM-4MIMW	DLBCL-RICOVER_1106-Normal-SM-4JPFY	2.150000
DLBCL_RICOVER_111	DLBCL-RICOVER_111-Tumor-SM-4NFRJ	DLBCL-RICOVER_111-Null_normal	2.062075
DLBCL_RICOVER_1138	DLBCL-RICOVER_1138-Tumor-SM-4MIMY	DLBCL-RICOVER_1138-Null_normal	2.051153
DLBCL_RICOVER_1144	DLBCL-RICOVER_1144-Tumor-SM-4MIMZ	DLBCL-RICOVER_1144-Null_normal	1.955336
DLBCL_RICOVER_1150	DLBCL-RICOVER_1150-Tumor-SM-4MIN3	DLBCL-RICOVER_1150-Normal-SM-4JPFZ	2.000000
DLBCL_RICOVER_1165	DLBCL-RICOVER_1165-Tumor-SM-4MIN4	DLBCL-RICOVER_1165-Null_normal	2.010516
DLBCL_RICOVER_1169	DLBCL-RICOVER_1169-Tumor-SM-4MIN5	DLBCL-RICOVER_1169-Normal-SM-4JPG1	2.110000
DLBCL_RICOVER_1190	DLBCL-RICOVER_1190-Tumor-SM-4MIN8	DLBCL-RICOVER_1190-Normal-SM-4MEZM	2.160000
DLBCL_RICOVER_1192	DLBCL-RICOVER_1192-Tumor-SM-4MIN9	DLBCL-RICOVER_1192-Null_normal	2.007425
DLBCL_RICOVER_1199	DLBCL-RICOVER_1199-Tumor-SM-4JPG3	DLBCL-RICOVER_1199-Normal-SM-4MEZN	2.012791
DLBCL_RICOVER_120	DLBCL-RICOVER_120-Tumor-SM-4NFRK	DLBCL-RICOVER_120-Null_normal	2.198916
DLBCL_RICOVER_1204	DLBCL-RICOVER_1204-Tumor-SM-4JPG5	DLBCL-RICOVER_1204-Null_normal	2.196473
DLBCL_RICOVER_1210	DLBCL-RICOVER_1210-Tumor-SM-4JPG6	DLBCL-RICOVER_1210-Null_normal	1.907061
DLBCL_RICOVER_1219	DLBCL-RICOVER_1219-Tumor-SM-4JPG7	DLBCL-RICOVER_1219-Normal-SM-4JPG2	2.070000
DLBCL_RICOVER_1235	DLBCL-RICOVER_1235-Tumor-SM-4JPG8	DLBCL-RICOVER_1235-Normal-SM-4MEZO	3.310000
DLBCL_RICOVER_1237	DLBCL-RICOVER_1237-Tumor-SM-4JPG9	DLBCL-RICOVER_1237-Normal-SM-4JPFL	2.090000
DLBCL_RICOVER_1247	DLBCL-RICOVER_1247-Tumor-SM-4JPGA	DLBCL-RICOVER_1247-Null_normal	1.951117
DLBCL_RICOVER_1248	DLBCL-RICOVER_1248-Tumor-SM-4JPGB	DLBCL-RICOVER_1248-Null_normal	2.057597
DLBCL_RICOVER_1257	DLBCL-RICOVER_1257-Tumor-SM-4JPGD	DLBCL-RICOVER_1257-Null_normal	2.032399
DLBCL_RICOVER_126	DLBCL-RICOVER_126-Tumor-SM-4NFRL	DLBCL-RICOVER_126-Normal-SM-4MEX2	3.290000
DLBCL_RICOVER_1263	DLBCL-RICOVER_1263-Tumor-SM-4JPGE	DLBCL-RICOVER_1263-Normal-SM-4JPFM	2.010000
